BallNo,IsFreeHit,CommentStrikers,IsTwo,Ypitch,BOWLING_LINE_ID,Flag,IsBye,IsBowlerWicket,PenaltyRuns,IsHattrick,BowlerName,IsLegBye,IsExtra,Xpitch,BowlerType,Extras,RunRuns,ShotTypeID,IsDotball,OutBatsManID,MatchID,BallRuns,IsThree,CommentOver,BowlerID,IsBouncer,Runs,BowlTypeName,BallCount,OverName,IsWide,SESSION_NO,ActualBallNo,HatCheck,Day,NewCommentry,FlagSet,NonStrikerID,IsTwoHundred,BallName,RunsText,IsWicket,InningsNo,ShotType,VideoFile,NSTclientID,ActualRuns,TotalWickets,BowlTypeID,IsNoBall,TotalRuns,IsFifty,IsHundred,BattingTeamID,OverImage,FiveHaul,BatsManName,IsFour,BOWLING_LENGTH_ID,SNO,STclientID,BallID,IsSix,Wickets,Commentry,BCCheck,IsMaiden,WicketType,IsOne,StrikerID,OverNo,BallUniqueID,UPDCommentry,TeamName
1,0,Mohammad Shami TO Ruturaj Gaikwad,0,106.62,Off stump,0,0,0,0,0,Mohammad Shami,0,0,-53.43,,0,0,84,1,,1046,0,0,Over 0.1,2018-100mb00000000047-1bfc8ff2f88b11,0,0,OUTSWINGER,1,One,0,1,1,2018-100mb00000000047-1bfc8ff2f88b11 - 0,1,Mohammad Shami to Ruturaj Gaikwad - DOT BALL !!!,0,2021-100mb00000000601-517399b0ceaf11,0,0.1,Zero,0,2,FRONTFOOT OFF DRIVE,CSKVSGT29052023-CSK-Inn2-Over1-Ball1.mp4,,0,0,42,0,0,0,0,13,https://scores.bcci.tv/matchcentre/commentaryFiles/TATA-IPL-2023/Chennai-Super-Kings-VS-Gujarat-Titans-(29-May-2023)/File_2-1-327555.jpg,1,Ruturaj Gaikwad,0,Good Length,327555,,596C02E1-048C-498E-A913-26B9D0DD2A60,0,,"Mohammad Shami bowling to Ruturaj Gaikwad, good length ball, pitching on off stump, Ruturaj Gaikwad plays an aggressive off drive on the front foot, straight to the fielder ",0,0,,0,2019-100mb00000000102-28e7fca043fc11,1,327555,"<p>Mohammad Shami bowling to Ruturaj Gaikwad, <span style=""color:#2980b9""><strong>SHAMI WITH THE NEW BALL! </strong></span>good length ball, pitching on off stump, Ruturaj Gaikwad plays an aggressive off drive on the front foot, straight to the fielder</p>

<p><strong>Mohammad Shami is the current Purple Cap<img alt="""" src=""https://bcci-stats-sports-mechanic.s3.amazonaws.com/matchcentre/images/commentary/smiley/purple-cap.png"" style=""height:24px; width:24px"" title="""" /> holder with 28 wickets!&nbsp;</strong></p>
",Chennai Super Kings
2,0,Mohammad Shami TO Ruturaj Gaikwad,0,28.87,Outside Off stump,0,0,0,0,0,Mohammad Shami,0,0,-62.91,,0,0,49,1,,1046,0,0,Over 0.2,2018-100mb00000000047-1bfc8ff2f88b11,0,0,STRAIGHT BALL,2,One,0,1,2,2018-100mb00000000047-1bfc8ff2f88b11 - 0,1,Mohammad Shami to Ruturaj Gaikwad - DOT BALL !!!,0,2021-100mb00000000601-517399b0ceaf11,0,0.2,Zero,0,2,FORWARD DEFENCE,CSKVSGT29052023-CSK-Inn2-Over1-Ball2.mp4,,0,0,38,0,0,0,0,13,https://scores.bcci.tv/matchcentre/commentaryFiles/TATA-IPL-2023/Chennai-Super-Kings-VS-Gujarat-Titans-(29-May-2023)/File_2-1-327556.png,0,Ruturaj Gaikwad,0,Good Length,327556,,A6FB20DE-0879-4774-BCC3-F8BB04FCD500,0,,"Mohammad Shami bowling to Ruturaj Gaikwad, good length ball, pitching outside off stump, Ruturaj Gaikwad plays a forward defensive shot, no run",0,0,,0,2019-100mb00000000102-28e7fca043fc11,1,327556,"<p>Mohammad Shami bowling to Ruturaj Gaikwad, good length ball, pitching outside off stump, Ruturaj Gaikwad plays a forward defensive shot, no run</p>

<p><strong>MOHAMMAD SHAMI VS RUTURAJ GAIKWAD</strong></p>

<p><strong>GAIKWAD&#39;S STRIKE RATE FALLS TO 70 FROM 135 (OVERALL STRIKE RATE) AGAINST MOHAMMAD SHAMI!</strong></p>

<p>&nbsp;</p>
",Chennai Super Kings
3,0,Mohammad Shami TO Ruturaj Gaikwad,0,-21.38,Outside Off stump,0,0,0,0,0,Mohammad Shami,0,0,-171.00,,0,4,59,0,,1046,4,0,Over 0.3,2018-100mb00000000047-1bfc8ff2f88b11,0,4,STRAIGHT BALL,3,One,0,1,3,2018-100mb00000000047-1bfc8ff2f88b11 - 0,1,Mohammad Shami to Ruturaj Gaikwad - FOUR RUNS !!!,0,2021-100mb00000000601-517399b0ceaf11,0,0.3,Four,0,2,FRONTFOOT SQUARE DRIVE,CSKVSGT29052023-CSK-Inn2-Over1-Ball3.mp4,,4,0,38,0,4,0,0,13,https://scores.bcci.tv/matchcentre/commentaryFiles/TATA-IPL-2023/Chennai-Super-Kings-VS-Gujarat-Titans-(29-May-2023)/File_2-1-327557.jpg,0,Ruturaj Gaikwad,1,Good Length,327557,,52C65746-34C6-44EC-962E-A2A0BCA8FB41,0,,"Mohammad Shami bowling to Ruturaj Gaikwad, good length ball, pitching outside off stump, Ruturaj Gaikwad aggressively plays a square drive on the front foot for 4 runs",0,0,,0,2019-100mb00000000102-28e7fca043fc11,1,327557,"<p>Mohammad Shami bowling to Ruturaj Gaikwad, <span style=""color:#f39c12""><strong>GAIKWAD &amp; CSK OFF THE MARK WITH A FOUR! </strong></span>good length ball, pitching outside off stump, Ruturaj Gaikwad plants the frontfoot ahead, lets the ball swing and then opens the face of the bat to steer past point for a boundary! <span style=""color:#f39c12""><strong>That is a shot of a man in good form!&nbsp;</strong></span></p>

<p>&nbsp;</p>

<p><span style=""color:#3300ff""><strong>PLAY TO START AT 12:10</strong></span></p>

<p><span style=""color:#3300ff""><strong>TARGET IS 171<img alt="""" src=""https://bcci-stats-sports-mechanic.s3.amazonaws.com/matchcentre/images/commentary/smiley/cricket-bat.png"" style=""height:23px; width:23px"" title="""" /> </strong></span></p>

<p><span style=""color:#3300ff""><strong>15 OVERS TO BE BOWLED!&nbsp;<img alt="""" src=""https://bcci-stats-sports-mechanic.s3.amazonaws.com/matchcentre/images/commentary/smiley/ball.png"" style=""height:23px; width:23px"" title="""" /></strong></span></p>

<p><span style=""color:#3300ff""><strong>STAY TUNED!!</strong></span></p>
",Chennai Super Kings
4,0,Mohammad Shami TO Ruturaj Gaikwad,1,-41.76,Middle stump,0,0,0,0,0,Mohammad Shami,0,0,-131.65,,0,2,40,0,,1046,2,0,Over 0.4,2018-100mb00000000047-1bfc8ff2f88b11,0,2,INSWINGER,4,One,0,1,4,2018-100mb00000000047-1bfc8ff2f88b11 - 0,1,Mohammad Shami to Ruturaj Gaikwad - TWO RUNS !!!,0,2021-100mb00000000601-517399b0ceaf11,0,0.4,Two,0,2,FRONTFOOT FLICK,CSKVSGT29052023-CSK-Inn2-Over1-Ball4.mp4,,2,0,41,0,6,0,0,13,,0,Ruturaj Gaikwad,0,Good Length,327558,,485E1A41-C524-427E-B430-C333D46AD7CA,0,,"Mohammad Shami bowling to Ruturaj Gaikwad, good length ball, pitching on middle stump, Ruturaj Gaikwad uncomfortably  plays an aggressive front foot flick for 2 runs",0,0,,0,2019-100mb00000000102-28e7fca043fc11,1,327558,"<p>Mohammad Shami bowling to Ruturaj Gaikwad, good length ball, pitching on middle stump, Ruturaj Gaikwad uncomfortably plays an aggressive front foot flick for 2 runs</p>

<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Take a look at the updated Playing Conditions ????<a href=""https://twitter.com/hashtag/TATAIPL?src=hash&amp;ref_src=twsrc%5Etfw"">#TATAIPL</a> | <a href=""https://twitter.com/hashtag/Final?src=hash&amp;ref_src=twsrc%5Etfw"">#Final</a> | <a href=""https://twitter.com/hashtag/CSKvGT?src=hash&amp;ref_src=twsrc%5Etfw"">#CSKvGT</a> <a href=""https://t.co/qU5CdMFfYs"">https://t.co/qU5CdMFfYs</a> <a href=""https://t.co/xZBhw8ZZtW"">pic.twitter.com/xZBhw8ZZtW</a></p>&mdash; IndianPremierLeague (@IPL) <a href=""https://twitter.com/IPL/status/1663251597537996800?ref_src=twsrc%5Etfw"">May 29, 2023</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>
",Chennai Super Kings
5,0,Mohammad Shami TO Ruturaj Gaikwad,0,47.84,Outside Off stump,0,0,0,0,0,Mohammad Shami,0,0,-79.03,,0,0,51,1,,1046,0,0,Over 0.5,2018-100mb00000000047-1bfc8ff2f88b11,0,0,STRAIGHT BALL,5,One,0,1,5,2018-100mb00000000047-1bfc8ff2f88b11 - 0,1,Mohammad Shami to Ruturaj Gaikwad - DOT BALL !!!,0,2021-100mb00000000601-517399b0ceaf11,0,0.5,Zero,0,2,FRONTFOOT COVERDRIVE,CSKVSGT29052023-CSK-Inn2-Over1-Ball5.mp4,,0,0,38,0,6,0,0,13,,0,Ruturaj Gaikwad,0,Good Length,327559,,14F48971-110C-4734-86DF-893A7E5DA767,0,,"Mohammad Shami bowling to Ruturaj Gaikwad, good length ball, pitching outside off stump, Ruturaj Gaikwad plays an aggressive cover drive on the front foot, straight to the fielder ",0,0,,0,2019-100mb00000000102-28e7fca043fc11,1,327559,"Mohammad Shami bowling to Ruturaj Gaikwad, good length ball, pitching outside off stump, Ruturaj Gaikwad plays an aggressive cover drive on the front foot, straight to the fielder ",Chennai Super Kings
6,0,Mohammad Shami TO Ruturaj Gaikwad,0,-10.95,Outside Off stump,0,0,0,0,0,Mohammad Shami,0,0,175.08,,0,4,58,0,,1046,4,0,Over 0.6,2018-100mb00000000047-1bfc8ff2f88b11,0,4,ANGLED IN,6,One,0,1,6,2018-100mb00000000047-1bfc8ff2f88b11 - 0,1,Mohammad Shami to Ruturaj Gaikwad - FOUR RUNS !!!,0,2021-100mb00000000601-517399b0ceaf11,0,0.6,Four,0,2,BACKFOOT PULL SHOT,CSKVSGT29052023-CSK-Inn2-Over1-Ball6.mp4,,4,0,39,0,10,0,0,13,https://scores.bcci.tv/matchcentre/commentaryFiles/TATA-IPL-2023/Chennai-Super-Kings-VS-Gujarat-Titans-(29-May-2023)/File_2-1-327560.jpg,0,Ruturaj Gaikwad,1,Short of Good Length,327560,,498C0B64-3B73-4F93-930A-9A42322F9ACC,0,,"Mohammad Shami bowling to Ruturaj Gaikwad, short of good length ball, pitching outside off stump, Ruturaj Gaikwad plays an aggressive pull shot on the back foot for 4 runs",0,0,,0,2019-100mb00000000102-28e7fca043fc11,1,327560,"<p>Mohammad Shami bowling to Ruturaj Gaikwad, <span style=""color:#f39c12""><strong>PULLED AWAY! </strong></span>short of good length ball, pitching outside off stump, just fractionally short, Ruturaj Gaikwad quickly to pounce on it, pulls it behind square on the leg side for a boundary!&nbsp;</p>
",Chennai Super Kings
1,0,Hardik Pandya TO Devon Conway,0,32.67,Off stump,0,0,0,0,0,Hardik Pandya,0,0,66.99,,0,0,49,1,,1046,0,0,Over 1.1,2018-100mb00000000054-e3ebefa2050a11,0,0,ANGLED ACROSS,1,Two,0,1,1,2018-100mb00000000054-e3ebefa2050a11 - 0,1,Hardik Pandya to Devon Conway - DOT BALL !!!,0,2019-100mb00000000102-28e7fca043fc11,0,1.1,Zero,0,2,FORWARD DEFENCE,CSKVSGT29052023-CSK-Inn2-Over2-Ball1.mp4,,0,0,30,0,10,0,0,13,,1,Devon Conway,0,Good Length,327561,,EBB69EB0-69B9-4F34-82D5-9EEFB34C0C28,0,,"Hardik Pandya bowling to Devon Conway, good length ball, pitching on off stump, Devon Conway plays a forward defensive shot, no run",1,0,,0,2021-100mb00000000601-517399b0ceaf11,2,327561,"<p>Hardik Pandya bowling to Devon Conway, <span style=""color:#2980b9""><strong>HARDIK PANDYA TO SHARE THE NEW BALL!</strong></span> good length ball, pitching on off stump, Devon Conway plays a forward defensive shot, no run</p>
",Chennai Super Kings
2,0,Hardik Pandya TO Devon Conway,0,17.02,Off stump,0,0,0,0,0,Hardik Pandya,0,0,192.62,,0,6,114,0,,1046,6,0,Over 1.2,2018-100mb00000000054-e3ebefa2050a11,0,6,ANGLED ACROSS,2,Two,0,1,2,2018-100mb00000000054-e3ebefa2050a11 - 0,1,Hardik Pandya to Devon Conway - SIX RUNS !!!,0,2019-100mb00000000102-28e7fca043fc11,0,1.2,Six,0,2,STEP DOWN LOFTED COVER DRIVE,CSKVSGT29052023-CSK-Inn2-Over2-Ball2.mp4,,6,0,30,0,16,0,0,13,,0,Devon Conway,0,Good Length,327562,,09E44FB3-C978-4BDA-A781-75D003ABE843,1,,"Hardik Pandya bowling to Devon Conway, good length ball, pitching on off stump, Devon Conway steps down and plays an aggressive lofted cover drive for 6 runs",1,0,,0,2021-100mb00000000601-517399b0ceaf11,2,327562,"<p>Hardik Pandya bowling to Devon Conway,<span style=""color:#f39c12""><strong> FIRST MAXIMUM OF THE <img alt="""" src=""https://bcci-stats-sports-mechanic.s3.amazonaws.com/matchcentre/images/commentary/smiley/CSK-text.png"" style=""height:20px; width:43px"" title="""" />INNINGS!</strong></span> good length ball, pitching on off stump, Devon Conway charges down the track and lofts it towards deep extra covers. Just clears the ropes but that will do. <span style=""color:#f39c12""><strong>SIX Runs for Conway!</strong></span></p>
",Chennai Super Kings
3,0,Hardik Pandya TO Devon Conway,0,94.30,Outside Leg stump,0,0,0,0,0,Hardik Pandya,0,0,80.74,,0,1,21,0,,1046,1,0,Over 1.3,2018-100mb00000000054-e3ebefa2050a11,0,1,STRAIGHT BALL,3,Two,0,1,3,2018-100mb00000000054-e3ebefa2050a11 - 0,1,Hardik Pandya to Devon Conway -  ONE RUN !!!,0,2019-100mb00000000102-28e7fca043fc11,0,1.3,One,0,2,STEP DOWN OFF DRIVE,CSKVSGT29052023-CSK-Inn2-Over2-Ball3.mp4,,1,0,38,0,17,0,0,13,,0,Devon Conway,0,Good Length,327563,,8E9D1F4E-BC86-49F8-9EDA-D77CD20A7EC8,0,,"Hardik Pandya bowling to Devon Conway, good length ball, pitching outside leg stump, Devon Conway steps down and plays an aggressive off drive for a single",1,0,,1,2021-100mb00000000601-517399b0ceaf11,2,327563,"Hardik Pandya bowling to Devon Conway, good length ball, pitching outside leg stump, Devon Conway steps down and plays an aggressive off drive for a single",Chennai Super Kings
4,0,Hardik Pandya TO Ruturaj Gaikwad,0,-29.91,Outside Off stump,0,0,0,0,0,Hardik Pandya,0,0,31.91,,0,1,27,0,,1046,1,0,Over 1.4,2018-100mb00000000054-e3ebefa2050a11,0,1,ANGLED IN,4,Two,0,1,4,2018-100mb00000000054-e3ebefa2050a11 - 0,1,Hardik Pandya to Ruturaj Gaikwad -  ONE RUN !!!,0,2021-100mb00000000601-517399b0ceaf11,0,1.4,One,0,2,FORWARD PUSH,CSKVSGT29052023-CSK-Inn2-Over2-Ball4.mp4,,1,0,39,0,18,0,0,13,,0,Ruturaj Gaikwad,0,Good Length,327564,,E04053D3-32FC-402C-8748-463D69F7CBE1,0,,"Hardik Pandya bowling to Ruturaj Gaikwad, good length ball, pitching outside off stump, Ruturaj Gaikwad uncomfortably  plays a defensive forward push for a single",1,0,,1,2019-100mb00000000102-28e7fca043fc11,2,327564,"Hardik Pandya bowling to Ruturaj Gaikwad, good length ball, pitching outside off stump, Ruturaj Gaikwad uncomfortably  plays a defensive forward push for a single",Chennai Super Kings
