Team1_Won,BowlersUsed_Margin_Overall,DotBalls_Margin_Overall,ExtrasConceded_Margin_Overall,Fours_Margin_Overall,Sixes_Margin_Overall,WicketsTaken_Margin_Overall,Runs_Margin_Powerplay,Runs_Margin_DeathOvers
0,-1,9.0,4.0,-5.0,5.0,-2.0,-8.0,-5.0
1,2,6.0,2.0,4.0,2.0,2.0,15.0,5.0
1,1,-10.0,2.0,-11.0,14.0,3.0,-14.0,12.0
1,0,-19.0,-1.0,14.0,3.0,3.0,52.0,9.0
0,-1,11.0,-6.0,4.0,-6.0,-5.0,-23.0,10.0
1,0,-4.0,2.0,4.0,4.0,0.0,-12.0,2.0
0,-1,19.0,-7.0,1.0,1.0,-4.0,-14.0,-10.0
1,1,-5.0,0.0,5.0,-3.0,3.0,6.0,-14.0
1,-1,-1.0,-17.0,8.0,5.0,3.0,-20.0,35.0
1,0,5.0,13.0,-5.0,0.0,-3.0,0.0,18.0
1,0,-5.0,4.0,8.0,7.0,5.0,30.0,26.0
0,0,4.0,2.0,0.0,-1.0,-5.0,-3.0,4.0
0,-1,-9.0,-12.0,4.0,-8.0,3.0,-6.0,18.0
0,0,27.0,-6.0,-5.0,3.0,-7.0,-3.0,2.0
1,0,-4.0,4.0,-5.0,3.0,7.0,16.0,34.0
0,-1,-4.0,-5.0,6.0,-5.0,-6.0,-17.0,6.0
1,0,-3.0,0.0,0.0,1.0,-2.0,11.0,-3.0
0,1,17.0,-3.0,-2.0,4.0,-4.0,-14.0,5.0
1,-1,-14.0,-2.0,4.0,0.0,3.0,19.0,20.0
1,0,-4.0,-8.0,-5.0,6.0,3.0,17.0,-10.0
0,-1,-3.0,-6.0,-4.0,0.0,0.0,5.0,-1.0
0,1,6.0,-10.0,-2.0,-3.0,-1.0,-18.0,1.0
0,1,-16.0,-2.0,3.0,-8.0,0.0,12.0,-10.0
1,0,-4.0,4.0,-1.0,1.0,2.0,-19.0,20.0
1,1,0.0,17.0,0.0,5.0,5.0,9.0,33.0
1,1,-3.0,6.0,-1.0,1.0,-1.0,0.0,7.0
1,0,-9.0,-7.0,4.0,-4.0,6.0,8.0,7.0
