Team1_Won,BowlersUsed_Margin_Overall,DotBalls_Margin_Overall,ExtrasConceded_Margin_Overall,Runs_Margin_Powerplay,Runs_Margin_MiddleOvers,Runs_Margin_DeathOvers,Fours_Margin_Powerplay,Fours_Margin_MiddleOvers,Fours_Margin_DeathOvers,Sixes_Margin_Powerplay,Sixes_Margin_MiddleOvers,Sixes_Margin_DeathOvers,WicketsTaken_Margin_Powerplay,WicketsTaken_Margin_MiddleOvers,WicketsTaken_Margin_DeathOvers
0,-1,9.0,4.0,-8.0,11.0,-5.0,1.0,-4.0,-2.0,-1.0,7.0,-1.0,0.0,-1.0,-1.0
1,2,6.0,2.0,15.0,12.0,5.0,1.0,2.0,0.0,2.0,0.0,-1.0,2.0,0.0,0.0
1,1,-10.0,2.0,-14.0,38.0,12.0,-6.0,-3.0,-1.0,1.0,7.0,3.0,1.0,1.0,0.0
1,0,-19.0,-1.0,52.0,22.0,9.0,7.0,6.0,2.0,3.0,1.0,1.0,2.0,3.0,-2.0
0,-1,11.0,-6.0,-23.0,-15.0,10.0,-1.0,0.0,4.0,-3.0,-2.0,-3.0,-2.0,-3.0,0.0
1,0,-4.0,2.0,-12.0,22.0,2.0,-5.0,4.0,6.0,1.0,3.0,-1.0,0.0,2.0,-1.0
0,-1,19.0,-7.0,-14.0,4.0,-10.0,0.0,2.0,-2.0,-2.0,2.0,0.0,0.0,-1.0,-2.0
1,1,-5.0,0.0,6.0,15.0,-14.0,4.0,2.0,-1.0,-1.0,0.0,-2.0,2.0,1.0,0.0
1,-1,-1.0,-17.0,-20.0,38.0,35.0,1.0,3.0,2.0,-1.0,2.0,4.0,-1.0,4.0,1.0
0,0,5.0,13.0,0.0,-24.0,18.0,-3.0,-5.0,3.0,1.0,-2.0,-1.0,0.0,-1.0,-1.0
1,0,-5.0,4.0,30.0,-8.0,26.0,7.0,-2.0,3.0,0.0,2.0,3.0,2.0,-1.0,3.0
0,0,4.0,2.0,-3.0,-14.0,4.0,2.0,-3.0,-2.0,-2.0,0.0,1.0,0.0,-4.0,-1.0
0,-1,-9.0,-12.0,-6.0,-15.0,18.0,2.0,1.0,1.0,-2.0,-4.0,0.0,1.0,-1.0,3.0
0,0,27.0,-6.0,-3.0,-15.0,2.0,-1.0,-1.0,-3.0,0.0,-1.0,3.0,-2.0,-4.0,-1.0
0,0,-4.0,4.0,16.0,-51.0,34.0,0.0,-4.0,-1.0,2.0,-7.0,7.0,3.0,1.0,2.0
0,-1,-4.0,-5.0,-17.0,4.0,6.0,-2.0,7.0,0.0,-2.0,-4.0,1.0,-1.0,-3.0,-1.0
1,0,-3.0,0.0,11.0,2.0,-3.0,1.0,0.0,-2.0,1.0,1.0,1.0,0.0,1.0,-1.0
0,1,17.0,-3.0,-14.0,2.0,5.0,-2.0,2.0,-1.0,1.0,0.0,2.0,-1.0,-1.0,-1.0
1,-1,-14.0,-2.0,19.0,-22.0,20.0,3.0,-5.0,6.0,1.0,-1.0,0.0,1.0,1.0,0.0
1,0,-4.0,-8.0,17.0,14.0,-10.0,2.0,-5.0,0.0,1.0,6.0,-1.0,2.0,1.0,0.0
0,-1,-3.0,-6.0,5.0,-10.0,-1.0,-4.0,4.0,-3.0,3.0,-4.0,1.0,2.0,0.0,0.0
0,1,6.0,-10.0,-18.0,-4.0,1.0,-2.0,-3.0,1.0,-2.0,0.0,-1.0,0.0,-1.0,0.0
0,1,-16.0,-2.0,12.0,-8.0,-10.0,2.0,3.0,-4.0,-1.0,-5.0,-1.0,0.0,1.0,1.0
1,0,-4.0,4.0,-19.0,10.0,20.0,-5.0,4.0,0.0,-2.0,-1.0,4.0,1.0,1.0,0.0
1,1,0.0,17.0,9.0,-22.0,33.0,4.0,-5.0,-1.0,0.0,0.0,5.0,1.0,1.0,2.0
1,1,-3.0,6.0,0.0,8.0,7.0,0.0,0.0,-1.0,-1.0,2.0,0.0,0.0,-1.0,1.0
1,0,-9.0,-7.0,8.0,-5.0,7.0,0.0,2.0,1.0,0.0,-5.0,1.0,3.0,4.0,-1.0
0,1,15.0,-5.0,-15.0,10.0,-14.0,-2.0,-4.0,-1.0,0.0,3.0,0.0,-1.0,-1.0,-1.0
0,1,2.0,-2.0,-1.0,-6.0,-5.0,-1.0,-2.0,-3.0,1.0,0.0,0.0,-1.0,-3.0,1.0
1,1,-4.0,1.0,-17.0,2.0,18.0,-4.0,0.0,1.0,-1.0,0.0,2.0,-1.0,-1.0,1.0
0,1,13.0,-9.0,0.0,-30.0,19.0,-2.0,-3.0,3.0,0.0,-2.0,3.0,0.0,-2.0,0.0
1,1,-1.0,-3.0,14.0,18.0,-25.0,0.0,3.0,-2.0,2.0,1.0,-3.0,-1.0,1.0,-1.0
1,-1,-15.0,7.0,14.0,9.0,23.0,-1.0,2.0,-1.0,1.0,0.0,4.0,2.0,0.0,3.0
1,-1,4.0,-3.0,9.0,1.0,-7.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-2.0,1.0,0.0
1,0,-16.0,0.0,10.0,6.0,32.0,1.0,2.0,2.0,-1.0,-1.0,4.0,0.0,2.0,1.0
1,1,6.0,-1.0,-12.0,4.0,24.0,1.0,-1.0,5.0,-1.0,2.0,2.0,2.0,1.0,0.0
1,0,2.0,-9.0,18.0,-5.0,-5.0,5.0,2.0,0.0,1.0,-2.0,-1.0,0.0,1.0,0.0
