StrikerID,FiveHaul,BattingTeamID,RunsText,IsWicket,NewCommentry,Runs,NonStrikerID,IsFreeHit,ActualRuns,IsExtra,OverImage,BOWLING_LINE_ID,IsNoBall,BCCheck,UPDCommentry,CommentOver,IsMaiden,TotalWickets,IsHundred,MatchID,IsTwo,BatsManName,SESSION_NO,Commentry,TotalRuns,BowlTypeID,Wickets,BallCount,OverName,BallName,IsSix,IsBouncer,IsTwoHundred,Flag,Ypitch,BallRuns,IsDotball,Xpitch,BallUniqueID,IsLegBye,RunRuns,BallNo,SNO,VideoFile,IsBye,Extras,BowlerType,InningsNo,OverNo,IsFour,FlagSet,IsWide,IsOne,HatCheck,IsHattrick,IsBowlerWicket,BowlerID,IsFifty,BallID,ShotTypeID,IsThree,ShotType,ActualBallNo,CommentStrikers,OutBatsManID,BowlerName,WicketType,Day,BowlTypeName,BOWLING_LENGTH_ID,TeamName,PenaltyRuns
2022-100mb00000000976-79aa33cca44611,1,35,Zero,0,Axar Patel to Sai Sudharsan - DOT BALL !!!,0,2019-100mb00000000062-8fa4884a17f311,0,0,0,https://scores.bcci.tv/matchcentre/commentaryFiles/TATA-IPL-2025/Delhi-Capitals-VS-Gujarat-Titans-(18-May-2025)/File_2-1-627461.jpg,Outside Leg stump,0,0,"Axar Patel bowling to Sai Sudharsan, good length ball, pitching outside leg stump, Sai Sudharsan leg glances it, no run towards Short Fine Leg",Over 0.1,0,0,0,1858,0,Sai Sudharsan,1,"Axar Patel bowling to Sai Sudharsan, good length ball, pitching outside leg stump, Sai Sudharsan leg glances it, no run towards Short Fine Leg",0,10,,1,One,0.1,0,0,0,0,-53.00,0,1,-47.00,627461,0,0,1,627461,DCVSGT18052025-GT-Inn2-Over1-Ball1.mp4,0,0,,2,1,0,0,0,0,2019-100mb00000000110-79ae08f5449411 - 0,0,0,2019-100mb00000000110-79ae08f5449411,0,A358BE15-579A-44D0-8977-02F73D5F8146,54,0,LEG GLANCE,1,Axar Patel TO Sai Sudharsan,,Axar Patel,,1,ORTHODOX,Good Length,Gujarat Titans,0
2022-100mb00000000976-79aa33cca44611,0,35,Four,0,Axar Patel to Sai Sudharsan - FOUR RUNS !!!,4,2019-100mb00000000062-8fa4884a17f311,0,4,0,,Middle stump,0,0,"<p>Axar Patel bowling to Sai Sudharsan,<span style=""color:#2980b9""><strong>LUCKY BREAK</strong></span> good length ball, pitching on middle stump, Sai Sudharsan&#39;s pull shot lacks timing, catching only an inside edge onto his own pads.The ball ricochets, racing across the outfield. Dushmantha Chameera&#39;s desperate dive at short fine leg can&#39;t halt its journey</p>
",Over 0.2,0,0,0,1858,0,Sai Sudharsan,1,"Axar Patel bowling to Sai Sudharsan, good length ball, pitching on middle stump, Sai Sudharsan uncomfortably  plays an aggressive pull shot on the back foot for 4 runs",4,10,,2,One,0.2,0,0,0,0,-143.00,4,0,-54.00,627462,0,4,2,627462,DCVSGT18052025-GT-Inn2-Over1-Ball2.mp4,0,0,,2,1,1,0,0,0,2019-100mb00000000110-79ae08f5449411 - 0,0,0,2019-100mb00000000110-79ae08f5449411,0,58BE0F9F-0FC2-4E8F-8F4B-A79E36890C28,58,0,BACKFOOT PULL SHOT,2,Axar Patel TO Sai Sudharsan,,Axar Patel,,1,ORTHODOX,Good Length,Gujarat Titans,0
2022-100mb00000000976-79aa33cca44611,0,35,One,0,Axar Patel to Sai Sudharsan -  ONE RUN !!!,1,2019-100mb00000000062-8fa4884a17f311,0,1,0,,Leg stump,0,0,"Axar Patel bowling to Sai Sudharsan, good length ball, pitching on leg stump, Sai Sudharsan plays an aggressive on drive off the back foot for a single towards Wide Long-On",Over 0.3,0,0,0,1858,0,Sai Sudharsan,1,"Axar Patel bowling to Sai Sudharsan, good length ball, pitching on leg stump, Sai Sudharsan plays an aggressive on drive off the back foot for a single towards Wide Long-On",5,10,,3,One,0.3,0,0,0,0,165.50,1,0,-108.00,627463,0,1,3,627463,DCVSGT18052025-GT-Inn2-Over1-Ball3.mp4,0,0,,2,1,0,0,0,1,2019-100mb00000000110-79ae08f5449411 - 0,0,0,2019-100mb00000000110-79ae08f5449411,0,48506A3D-6720-4F75-A9FF-122C4EEA11F6,101,0,BACKFOOT ON DRIVE,3,Axar Patel TO Sai Sudharsan,,Axar Patel,,1,ORTHODOX,Good Length,Gujarat Titans,0
2019-100mb00000000062-8fa4884a17f311,0,35,Zero,0,Axar Patel to Shubman Gill - DOT BALL !!!,0,2022-100mb00000000976-79aa33cca44611,0,0,0,,Outside Off stump,0,0,"Axar Patel bowling to Shubman Gill, good length ball, pitching outside off stump, Shubman Gill uncomfortably  plays a forward defensive shot, no run",Over 0.4,0,0,0,1858,0,Shubman Gill,1,"Axar Patel bowling to Shubman Gill, good length ball, pitching outside off stump, Shubman Gill uncomfortably  plays a forward defensive shot, no run",5,23,,4,One,0.4,0,0,0,0,165.50,0,1,-108.00,627464,0,0,4,627464,DCVSGT18052025-GT-Inn2-Over1-Ball4.mp4,0,0,,2,1,0,0,0,0,2019-100mb00000000110-79ae08f5449411 - 0,0,0,2019-100mb00000000110-79ae08f5449411,0,5B46FE8B-A6BD-4BE0-80CF-6CEB3A04F788,49,0,FORWARD DEFENCE,4,Axar Patel TO Shubman Gill,,Axar Patel,,1,ARM BALL,Good Length,Gujarat Titans,0
2019-100mb00000000062-8fa4884a17f311,0,35,Zero,0,Axar Patel to Shubman Gill - DOT BALL !!!,0,2022-100mb00000000976-79aa33cca44611,0,0,0,,Outside Off stump,0,0,"Axar Patel bowling to Shubman Gill, good length ball, pitching outside off stump, Shubman Gill plays a defensive back foot push, no run towards Short Extra Covers",Over 0.5,0,0,0,1858,0,Shubman Gill,1,"Axar Patel bowling to Shubman Gill, good length ball, pitching outside off stump, Shubman Gill plays a defensive back foot push, no run towards Short Extra Covers",5,23,,5,One,0.5,0,0,0,0,62.50,0,1,-66.50,627465,0,0,5,627465,DCVSGT18052025-GT-Inn2-Over1-Ball5.mp4,0,0,,2,1,0,0,0,0,2019-100mb00000000110-79ae08f5449411 - 0,0,0,2019-100mb00000000110-79ae08f5449411,0,E5DCCC9E-C15B-4C81-BAFD-7FD475FC9D0B,97,0,BACKFOOT PUSH,5,Axar Patel TO Shubman Gill,,Axar Patel,,1,ARM BALL,Good Length,Gujarat Titans,0
2019-100mb00000000062-8fa4884a17f311,0,35,Six,0,Axar Patel to Shubman Gill - SIX RUNS !!!,6,2022-100mb00000000976-79aa33cca44611,0,6,0,,Outside Off stump,0,0,"<p>Axar Patel bowling to Shubman Gill,<span style=""color:#2980b9""><strong>MAXIMUM FROM THE SKIPPER!&nbsp;</strong></span> good length ball, pitching outside off stump, Shubman Gill has launched that into the stands! Brilliant use of the feet, getting low and forward into the sweep.</p>
",Over 0.6,0,0,0,1858,0,Shubman Gill,1,"Axar Patel bowling to Shubman Gill, good length ball, pitching outside off stump, Shubman Gill plays a slog sweep for 6 runs towards Country",11,23,,6,One,0.6,1,0,0,0,120.50,6,0,176.00,627466,0,6,6,627466,DCVSGT18052025-GT-Inn2-Over1-Ball6.mp4,0,0,,2,1,0,0,0,0,2019-100mb00000000110-79ae08f5449411 - 0,0,0,2019-100mb00000000110-79ae08f5449411,0,75CB3961-DBD5-4869-A1E0-9D3072EB1919,95,0,SLOG SWEEP,6,Axar Patel TO Shubman Gill,,Axar Patel,,1,ARM BALL,Good Length,Gujarat Titans,0
2022-100mb00000000976-79aa33cca44611,1,35,Six,0,T Natarajan to Sai Sudharsan - SIX RUNS !!!,6,2019-100mb00000000062-8fa4884a17f311,0,6,0,,Leg stump,0,1,"<p>T Natarajan bowling to Sai Sudharsan,<span style=""color:#2980b9""><strong>A GIFT FOR THE SOUTHPAW!&nbsp;</strong></span> good length ball, pitching on leg stump, Sai Sudharsan simply helps it on its way with elegant timing, and with that short boundary at deep backward square, it&#39;s six runs!</p>
",Over 1.1,0,0,0,1858,0,Sai Sudharsan,1,"T Natarajan bowling to Sai Sudharsan, good length ball, pitching on leg stump, Sai Sudharsan plays an aggressive front foot flick for 6 runs towards Deep Fine Leg",17,39,,1,Two,1.1,1,0,0,0,-119.00,6,0,-110.50,627467,0,6,1,627467,DCVSGT18052025-GT-Inn2-Over2-Ball1.mp4,0,0,,2,2,0,0,0,0,2019-100mb00000000224-85b4cb8c44c011 - 0,0,0,2019-100mb00000000224-85b4cb8c44c011,0,EC0AFCE1-96B7-4D94-B33E-9B87AD36E56D,40,0,FRONTFOOT FLICK,1,T Natarajan TO Sai Sudharsan,,T Natarajan,,1,ANGLED IN,Good Length,Gujarat Titans,0
2022-100mb00000000976-79aa33cca44611,0,35,Four,0,T Natarajan to Sai Sudharsan - FOUR RUNS !!!,4,2019-100mb00000000062-8fa4884a17f311,0,4,0,,Outside Off stump,0,1,"<p>T Natarajan bowling to Sai Sudharsan,<span style=""color:#2980b9""><strong>RACING TO THE BOUNDARY! </strong></span>good length ball, pitching outside off stump, Sai Sudharsan throws his hands at it, slashing with conviction! It&#39;s in the air but safely wide of the point fielder.</p>
",Over 1.2,0,0,0,1858,0,Sai Sudharsan,1,"T Natarajan bowling to Sai Sudharsan, good length ball, pitching outside off stump, Sai Sudharsan plays an aggressive cut shot for 4 runs towards Deep Covers",21,42,,2,Two,1.2,0,0,0,0,10.00,4,0,185.50,627468,0,4,2,627468,DCVSGT18052025-GT-Inn2-Over2-Ball2.mp4,0,0,,2,2,1,0,0,0,2019-100mb00000000224-85b4cb8c44c011 - 0,0,0,2019-100mb00000000224-85b4cb8c44c011,0,22D788BF-C8DC-4F7B-8B47-6233ED6A251D,36,0,CUT SHOT,2,T Natarajan TO Sai Sudharsan,,T Natarajan,,1,OUTSWINGER,Good Length,Gujarat Titans,0
2022-100mb00000000976-79aa33cca44611,0,35,Four,0,T Natarajan to Sai Sudharsan - FOUR RUNS !!!,4,2019-100mb00000000062-8fa4884a17f311,0,4,0,,Outside Off stump,0,1,"<p>T Natarajan bowling to Sai Sudharsan,<span style=""color:#2980b9""><strong>CREAMED THAT ONE!</strong></span> good length ball, pitching outside off stump, Sai Sudharsan plays an aggressive cover drive on the back foot, splitting extra-cover and sweeper cover to perfection.</p>
",Over 1.3,0,0,0,1858,0,Sai Sudharsan,1,"T Natarajan bowling to Sai Sudharsan, good length ball, pitching outside off stump, Sai Sudharsan plays an aggressive cover drive on the back foot for 4 runs towards Deep Extra Covers(Sweeper Cover)",25,42,,3,Two,1.3,0,0,0,0,92.50,4,0,174.50,627469,0,4,3,627469,DCVSGT18052025-GT-Inn2-Over2-Ball3.mp4,0,0,,2,2,1,0,0,0,2019-100mb00000000224-85b4cb8c44c011 - 0,0,0,2019-100mb00000000224-85b4cb8c44c011,0,EF65D6F9-8233-4E6D-B414-A6F6F5C938C5,52,0,BACKFOOT COVERDRIVE,3,T Natarajan TO Sai Sudharsan,,T Natarajan,,1,OUTSWINGER,Good Length,Gujarat Titans,0
2022-100mb00000000976-79aa33cca44611,0,35,Zero,0,T Natarajan to Sai Sudharsan - DOT BALL !!!,0,2019-100mb00000000062-8fa4884a17f311,0,0,0,,Outside Off stump,0,1,"T Natarajan bowling to Sai Sudharsan, good length ball, pitching outside off stump, Sai Sudharsan plays an aggressive on drive off the back foot, straight to the fielder  towards Mid-On",Over 1.4,0,0,0,1858,0,Sai Sudharsan,1,"T Natarajan bowling to Sai Sudharsan, good length ball, pitching outside off stump, Sai Sudharsan plays an aggressive on drive off the back foot, straight to the fielder  towards Mid-On",25,41,,4,Two,1.4,0,0,0,0,121.00,0,1,-46.50,627470,0,0,4,627470,DCVSGT18052025-GT-Inn2-Over2-Ball4.mp4,0,0,,2,2,0,0,0,0,2019-100mb00000000224-85b4cb8c44c011 - 0,0,0,2019-100mb00000000224-85b4cb8c44c011,0,DD2D615D-CD26-4AFF-9CAC-940F350CBC73,101,0,BACKFOOT ON DRIVE,4,T Natarajan TO Sai Sudharsan,,T Natarajan,,1,INSWINGER,Good Length,Gujarat Titans,0
