MatchID,IsNight,BF_Team,BS_Team,BF_Won,BF_PP_Runs,BF_MO_Runs,BF_DO_Runs,BF_Total_Runs,BF_Fours,BF_Sixes,BF_Wickets,BF_Extras,BF_Bowlers,BF_Dots,BS_PP_Runs,BS_MO_Runs,BS_DO_Runs,BS_Total_Runs,BS_Fours,BS_Sixes,BS_Wickets,BS_Extras,BS_Bowlers,BS_Dots
857,0,Punjab Kings,Kolkata Knight Riders,1,56.0,83.0,48.0,187.0,17.0,9.0,5.0,4.0,5,43.0,45.0,67.0,28.0,140.0,13.0,7.0,7.0,6.0,7,37.0
858,1,Lucknow Super Giants,Delhi Capitals,1,29.0,86.0,70.0,185.0,5.0,16.0,6.0,8.0,5,43.0,43.0,48.0,42.0,133.0,16.0,2.0,9.0,10.0,6,53.0
859,0,Rajasthan Royals,Sunrisers Hyderabad,1,84.0,65.0,46.0,195.0,22.0,8.0,5.0,8.0,6,39.0,30.0,45.0,49.0,124.0,8.0,5.0,8.0,7.0,6,58.0
860,1,Mumbai Indians,Royal Challengers Bangalore,0,28.0,69.0,63.0,160.0,15.0,7.0,7.0,11.0,7,49.0,49.0,86.0,32.0,167.0,11.0,13.0,2.0,5.0,6,38.0
861,1,Chennai Super Kings,Lucknow Super Giants,1,69.0,68.0,64.0,201.0,17.0,13.0,7.0,16.0,7,37.0,73.0,54.0,60.0,187.0,13.0,9.0,7.0,18.0,7,41.0
862,1,Delhi Capitals,Gujarat Titans,0,38.0,59.0,50.0,147.0,16.0,6.0,8.0,15.0,6,54.0,51.0,56.0,48.0,155.0,15.0,5.0,4.0,8.0,5,35.0
863,1,Punjab Kings,Rajasthan Royals,1,59.0,75.0,53.0,187.0,19.0,7.0,4.0,10.0,5,35.0,55.0,58.0,69.0,182.0,14.0,10.0,7.0,10.0,6,40.0
864,1,Kolkata Knight Riders,Royal Challengers Bangalore,1,31.0,76.0,74.0,181.0,21.0,9.0,7.0,23.0,7,49.0,50.0,39.0,28.0,117.0,13.0,4.0,10.0,6.0,6,50.0
865,1,Sunrisers Hyderabad,Lucknow Super Giants,1,41.0,32.0,44.0,117.0,10.0,3.0,8.0,4.0,7,52.0,38.0,59.0,13.0,110.0,15.0,3.0,5.0,17.0,7,47.0
866,0,Rajasthan Royals,Delhi Capitals,1,65.0,57.0,71.0,193.0,23.0,7.0,4.0,6.0,6,40.0,35.0,65.0,32.0,132.0,15.0,0.0,9.0,10.0,6,45.0
868,0,Gujarat Titans,Kolkata Knight Riders,0,42.0,68.0,78.0,188.0,19.0,7.0,4.0,16.0,6,34.0,42.0,89.0,72.0,203.0,15.0,15.0,7.0,4.0,5,43.0
869,1,Punjab Kings,Sunrisers Hyderabad,0,38.0,41.0,58.0,137.0,17.0,6.0,9.0,6.0,6,69.0,34.0,63.0,48.0,145.0,22.0,3.0,2.0,0.0,6,42.0
870,1,Royal Challengers Bangalore,Lucknow Super Giants,1,54.0,54.0,92.0,200.0,13.0,15.0,2.0,12.0,6,35.0,31.0,112.0,54.0,197.0,18.0,12.0,9.0,16.0,6,39.0
871,1,Delhi Capitals,Mumbai Indians,0,50.0,52.0,59.0,161.0,21.0,5.0,10.0,11.0,7,45.0,67.0,48.0,52.0,167.0,15.0,10.0,4.0,6.0,6,49.0
872,1,Rajasthan Royals,Chennai Super Kings,1,57.0,54.0,54.0,165.0,12.0,7.0,8.0,10.0,6,34.0,44.0,54.0,64.0,162.0,12.0,6.0,6.0,10.0,6,37.0
873,1,Punjab Kings,Gujarat Titans,0,46.0,42.0,54.0,142.0,16.0,5.0,8.0,11.0,5,56.0,55.0,45.0,46.0,146.0,18.0,1.0,4.0,8.0,6,39.0
874,1,Sunrisers Hyderabad,Kolkata Knight Riders,1,58.0,68.0,90.0,216.0,22.0,11.0,4.0,12.0,7,30.0,60.0,69.0,66.0,195.0,18.0,11.0,7.0,10.0,6,44.0
875,0,Royal Challengers Bangalore,Delhi Capitals,1,46.0,82.0,35.0,163.0,13.0,8.0,6.0,11.0,6,42.0,32.0,65.0,51.0,148.0,18.0,2.0,9.0,3.0,6,46.0
876,1,Lucknow Super Giants,Punjab Kings,0,48.0,53.0,46.0,147.0,12.0,6.0,8.0,12.0,7,48.0,44.0,62.0,49.0,155.0,16.0,6.0,8.0,6.0,6,51.0
877,0,Kolkata Knight Riders,Mumbai Indians,0,47.0,77.0,47.0,171.0,13.0,10.0,6.0,14.0,6,44.0,70.0,76.0,36.0,182.0,15.0,13.0,5.0,4.0,7,38.0
878,1,Gujarat Titans,Rajasthan Royals,0,40.0,63.0,69.0,172.0,13.0,7.0,7.0,5.0,5,33.0,24.0,75.0,77.0,176.0,10.0,15.0,7.0,3.0,6,49.0
879,1,Chennai Super Kings,Royal Challengers Bangalore,1,53.0,91.0,75.0,219.0,12.0,17.0,6.0,7.0,6,33.0,71.0,82.0,54.0,207.0,13.0,16.0,8.0,11.0,6,37.0
880,1,Mumbai Indians,Sunrisers Hyderabad,1,52.0,56.0,82.0,190.0,19.0,9.0,5.0,2.0,5,41.0,39.0,82.0,38.0,159.0,19.0,4.0,10.0,19.0,6,41.0
